                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.7589,                 1.6316,                 1.6254,                0.83745,                0.58065,                0.68973,                0.29397,                 1.9785,                 1.5575,                 1.8378,              0.0006635,              0.0006635,              0.0006635
                    138,                 1.8164,                 1.6704,                 1.6274,                0.39952,                0.43548,                0.39093,                0.12068,                 2.3402,                 2.2393,                 2.0126,              0.0006536,              0.0006536,              0.0006536
                    139,                 1.8404,                 1.7317,                 1.6652,                0.84038,                0.50959,                0.63704,                0.23439,                 2.1344,                 1.7052,                 1.8715,              0.0006437,              0.0006437,              0.0006437
                    140,                  1.783,                 1.5895,                 1.6633,                0.80698,                0.64516,                0.70414,                0.30957,                  1.942,                 1.5313,                 1.7796,              0.0006338,              0.0006338,              0.0006338
                    141,                 1.7004,                 1.6292,                 1.6458,                0.90423,                0.60922,                0.69825,                0.31407,                 1.9913,                 1.5349,                 1.7996,              0.0006239,              0.0006239,              0.0006239
                    142,                 1.7689,                 1.6257,                 1.6059,                0.79264,                0.54839,                 0.6569,                0.28422,                 1.9928,                 1.6462,                 1.8066,               0.000614,               0.000614,               0.000614
                    143,                 1.8693,                 1.7151,                 1.6935,                0.78294,                0.53226,                0.63583,                0.25351,                 2.0239,                 1.6336,                 1.8561,              0.0006041,              0.0006041,              0.0006041
                    144,                 1.7969,                  1.617,                 1.7143,                0.59249,                0.35182,                0.45885,                0.17318,                 2.1976,                 1.9012,                 1.9794,              0.0005942,              0.0005942,              0.0005942
                    145,                 1.7763,                 1.5917,                 1.6129,                0.37612,                0.38898,                0.33084,                0.12499,                 2.2121,                  2.195,                 2.0077,              0.0005843,              0.0005843,              0.0005843
                    146,                 1.7719,                 1.6819,                 1.5909,                0.54347,                0.35484,                0.41689,                0.16245,                 2.1598,                 2.3097,                 1.9973,              0.0005744,              0.0005744,              0.0005744
                    147,                 1.9112,                 1.7196,                 1.7078,                0.77086,                0.48844,                0.59847,                0.25269,                  2.067,                 1.8115,                 1.8988,              0.0005645,              0.0005645,              0.0005645
